City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Vila,PT,75.0,broken clouds,42.03,-8.16,Hotel Castrum Villae
544,Kitimat,CA,59.99,light rain,54.05,-128.65,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
545,Biak,ID,76.14,light rain,-0.91,122.88,Kost Ariz
546,Carangola,BR,62.37,scattered clouds,-20.73,-42.03,Hotel Fazenda Búfalos
547,Byron Bay,AU,59.0,clear sky,-28.65,153.62,Backpackers Inn on the Beach
548,Fort Dodge,US,64.4,few clouds,42.5,-94.17,"Country Inn & Suites by Radisson, Fort Dodge, IA"
549,Ende,ID,72.88,few clouds,-8.84,121.66,Dwi Putra Hotel - Ende
550,Yangjiang,CN,78.94,moderate rain,21.85,111.97,HUALUXE Yangjiang City Center
551,Roma,US,68.0,heavy intensity rain,43.21,-75.46,Wingate By Wyndham Rome
552,Broken Hill,AU,55.4,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
553,Merauke,ID,77.47,broken clouds,-8.47,140.33,
554,Atkarsk,RU,69.51,broken clouds,51.87,45.01,Hotel Kareta
555,Baruun-Urt,MN,65.95,broken clouds,46.68,113.28,Ахмадын амралт сувилал
556,Owando,CG,88.72,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
557,La Tuque,CA,64.11,overcast clouds,47.43,-72.78,The Gite du Parc
558,Andra,RU,76.32,broken clouds,62.51,65.89,"Gostinitsa ""Ob'"""
559,Soyo,AO,76.41,overcast clouds,-6.13,12.37,Hotel Mpampa
560,Najran,SA,102.2,scattered clouds,17.49,44.13,محمد هادي ال فطيح
561,Avera,US,71.6,clear sky,33.19,-82.53,
562,Fengrun,CN,79.74,heavy intensity rain,39.83,118.12,Super 8 Tangshan North Railway Station Tangfeng Road
563,Chabahar,IR,86.0,clear sky,25.29,60.64,هتل گدروشیا
564,Xuddur,SO,86.07,scattered clouds,4.12,43.89,Banjanay Hotel
565,Kloulklubed,PW,82.4,broken clouds,7.04,134.26,Storyboard Beach Resort
566,Port Macquarie,AU,51.01,few clouds,-31.43,152.92,Rydges Port Macquarie
567,Kapuskasing,CA,50.0,mist,49.42,-82.43,Park Inn Motel
568,Sinnamary,GF,77.67,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
569,Zhigansk,RU,65.64,few clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
